新闻频道,#genre#
鏡電視新聞,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv075/index.m3u8
鏡電視新聞,http://bvm.808848.xyz:50007/4gtv-4gtv075/index.m3u8
鏡電視新聞,https://live.iill.top/youtube/5n0y6b0Q25o  





体育频道,#genre#
广东体育,rtp://@239.77.0.112:5146
广东体育,http://120.233.73.4:19901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://113.81.20.159:808/hls/20/index.m3u8
广东体育,http://zb.xmzb.xyz/live_proxy.php?id=GDTIyu
广东体育,http://14.212.185.146:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://cnfs.204999.xyz:30080/judy520/judy520/3
CCTV5,rtp://@239.77.0.170:5146  
CCTV5,http://772765777.xyz:27777/rtp/239.93.1.12:2224  
CCTV5,http://www.qiqi.pub:18889/rtp/239.93.1.12:2224  
CCTV5,http://j.daysky.com:8000/rtp/239.93.1.12:2224  
CCTV5+,rtp://@239.77.0.87:5146  
CCTV5+,http://772765777.xyz:27777/rtp/239.77.0.87:5140  
CCTV5+,http://www.qiqi.pub:18889/rtp/239.77.0.87:5140  
CCTV5+,http://j.daysky.com:8000/rtp/239.77.0.87:5140  
CCTV16,http://www.qiqi.pub:18889/rtp/239.93.42.54:5140  
CCTV16,http://772765777.xyz:27777/rtp/239.93.42.54:5140  
CCTV16,http://j.daysky.com:8000/rtp/239.93.42.54:5140  
  
精品体育,
超级体育,http://107.174.52.32/itv.php?id=%E8%B6%85%E7%BA%A7%E4%BD%93%E8%82%B2
劲爆体育,https://epg.pw/stream/5c9f8deb5d2b8a259adb635f16239674f23d6075bb3713aa4795a8a7ecb34f52.ctv
劲爆体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.129:11111   
劲爆体育,http://120.238.94.82:9901/tsfile/live/1086_1.m3u8
IHOT体育,http://772765777.xyz:27777/rtp/239.93.42.19:5140
IHOT体育,http://www.qiqi.pub:18889/rtp/239.93.42.19:5140
IHOT赛车,http://772765777.xyz:27777/rtp/239.93.42.20:5140
IHOT赛车,http://www.qiqi.pub:18889/rtp/239.93.42.20:5140
五星体育,
睛彩篮球,rtp://239.77.1.21:5146
睛彩篮球,
睛彩篮球,
睛彩竞技,rtp://239.77.1.20:5146
睛彩竞技,
睛彩竞技,
魅力足球,http://772765777.xyz:27777/rtp/239.93.42.97:5140
魅力足球,http://z.b.bkpcp.top/m.php?id=mlzq
快乐垂钓,http://772765777.xyz:27777/rtp/239.93.1.151:5140
来钓鱼吧,http://772765777.xyz:27777/rtp/239.93.42.8:5140
英雄联盟1,http://live.iill.top/bilibili.php?id=6
英雄联盟2,http://live.iill.top/huya.php?id=660001
英雄联盟3,http://live.iill.top/douyu.php?id=288016
Red Bull TV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8

TRACE Sport Stars,http://bvm.808848.xyz:50007/4gtv-4gtv077/index.m3u8
TRACE Sport Stars,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv077/index.m3u8
智林體育,http://bvm.808848.xyz:50007/4gtv-4gtv101/index.m3u8
智林體育,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv101/index.m3u8
時尚運動X,http://bvm.808848.xyz:50007/4gtv-4gtv014/index.m3u8
時尚運動X,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv014/index.m3u8
車迷 TV,http://bvm.808848.xyz:50007/4gtv-live201/index.m3u8
車迷 TV,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live201/index.m3u8
GINX Esports TV,http://bvm.808848.xyz:50007/4gtv-4gtv053/index.m3u8
GINX Esports TV,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv053/index.m3u8
博斯魅力,http://bvm.808848.xyz:50007/litv-longturn04/index.m3u8
博斯魅力,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn04/index.m3u8
博斯高球I,http://bvm.808848.xyz:50007/litv-longturn05/index.m3u8
博斯高球I,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn05/index.m3u8
博斯高球II,http://bvm.808848.xyz:50007/litv-longturn06/index.m3u8
博斯高球II,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn06/index.m3u8
博斯運動I,http://bvm.808848.xyz:50007/litv-longturn07/index.m3u8
博斯運動I,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn07/index.m3u8
博斯運動II,http://bvm.808848.xyz:50007/litv-longturn08/index.m3u8
博斯運動II,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn08/index.m3u8
博斯網球,http://bvm.808848.xyz:50007/litv-longturn09/index.m3u8
博斯網球,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn09/index.m3u8
博斯無限I,http://bvm.808848.xyz:50007/litv-longturn10/index.m3u8
博斯無限I,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn10/index.m3u8
博斯無限II,http://bvm.808848.xyz:50007/litv-longturn13/index.m3u8
博斯無限II,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn13/index.m3u8
TRACE Sport Stars,http://bvm.808848.xyz:50007/li-4gtv-4gtv077/index.m3u8
TRACE Sport Stars,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv077/index.m3u8
智林體育,http://bvm.808848.xyz:50007/li-4gtv-4gtv101/index.m3u8
智林體育,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv101/index.m3u8
時尚運動X,http://bvm.808848.xyz:50007/li-4gtv-4gtv014/index.m3u8
時尚運動X,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv014/index.m3u8
GINX Esports TV,http://bvm.808848.xyz:50007/li-4gtv-4gtv053/index.m3u8
GINX Esports TV,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv053/index.m3u8




电影频道,#genre#
周星驰,http://www.douzhicloud.site:35455/huya/11336587
粤语电影1,http://www.douzhicloud.site:35455/douyu/1226741
粤语喜剧,http://www.douzhicloud.site:35455/huya/11352894
粤语喜剧,https://live.iill.top/huya/11352894
风味人间,http://www.douzhicloud.site:35455/huya/26355760
荒野求生,http://www.douzhicloud.site:35455/douyu/4332
超级变变变,http://www.douzhicloud.site:35455/huya/30080137
亮剑电视轮播,http://www.douzhicloud.site:35455/huya/30080238
雪豹电视轮播,http://www.douzhicloud.site:35455/huya/29580970
科幻Fans轮播,http://www.douzhicloud.site:35455/douyu/3508304
科幻解说轮播,http://www.douzhicloud.site:35455/douyu/9338839
科幻梦工场播,http://www.douzhicloud.site:35455/huya/15152155
经典小品,http://www.douzhicloud.site:35455/douyu/9067836
赵本山小品,http://www.douzhicloud.site:35455/douyu/9817716
黑莓电影,http://107.174.52.32/itv.php?id=%e9%bb%91%e8%8e%93%e7%94%b5%e5%bd%b1
超级电影,http://107.174.52.32/itv.php?id=%e8%b6%85%e7%ba%a7%e7%94%b5%e5%bd%b1
影迷电影,rtp://239.77.0.27:5146
影迷电影,http://772765777.xyz:27777/rtp/239.93.42.5:5140

NOW星影,
NOW爆谷,
美亞電影台(HK),
PoPC,
天影电影(国语),http://php.jdshipin.com:8880/smt.php?id=Celestial
天影经典(国语),http://php.jdshipin.com:8880/smt.php?id=Celestial2




靖天電影,http://bvm.808848.xyz:50007/4gtv-4gtv061/index.m3u8
靖天電影,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv061/index.m3u8
影迷數位電影台,http://bvm.808848.xyz:50007/4gtv-4gtv011/index.m3u8
影迷數位電影台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv011/index.m3u8
amc 電影台,http://bvm.808848.xyz:50007/4gtv-4gtv017/index.m3u8
amc 電影台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv017/index.m3u8
經典電影台,http://bvm.808848.xyz:50007/4gtv-live021/index.m3u8
經典電影台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live021/index.m3u8
靖天電影,http://bvm.808848.xyz:50007/li-4gtv-4gtv061/index.m3u8
靖天電影,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv061/index.m3u8
影迷數位電影台,http://bvm.808848.xyz:50007/li-4gtv-4gtv011/index.m3u8
影迷數位電影台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv011/index.m3u8
amc 電影台,http://bvm.808848.xyz:50007/li-4gtv-4gtv017/index.m3u8
amc 電影台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv017/index.m3u8
龍華洋片,http://bvm.808848.xyz:50007/litv-longturn02/index.m3u8
龍華洋片,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn02/index.m3u8
龍華電影,http://bvm.808848.xyz:50007/litv-longturn03/index.m3u8
龍華電影,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn03/index.m3u8








香港频道,#genre#
鳳凰中文,http://www.qiqi.pub:18889/rtp/239.93.0.162:2192
鳳凰中文,http://772765777.xyz:27777/rtp/239.93.0.162:2192
鳳凰中文,http://j.daysky.com:8000/rtp/239.93.0.162:2192
